Area,Boro,AreaType,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
All Downtown,Manhattan,submarket,88.5,69,49,50,44.5,57,65,74,86,69,61,70,104,86,61,55.5,63,70,97,88,96.5,74.5,68,90,92,84,98
All Midtown,Manhattan,submarket,89.5,63,49,46,54,63,69,72,65,71.5,59,89,104.5,94,72,59,68.5,78,86,104.5,108,64.5,77,102,99,94,60
All Upper East Side,Manhattan,submarket,88,74,53,43,52,51,66,70,66.5,59,56,71,102,61.5,90,60,49,73,86.5,82,87,74,63,96,105,97,55
All Upper Manhattan,Manhattan,submarket,100.5,63,51,43,43,44,59,69,76,56,75.5,79,91,93,64,74,60,62,83.5,70.5,81,61.5,70,67,103,93,77
All Upper West Side,Manhattan,submarket,84,49.5,49.5,39,38,49,52,68.5,69,46,56,76,86,52,47,49.5,43,58,68,80,107,66,55,89.5,92,87,57
Alley Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astoria,Queens,neighborhood,,,,35,,56,,51,,58.5,49,54,,105,43,44,44,32,50,61.5,,66,66,52,90,29,52
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battery Park City,Manhattan,neighborhood,,75.5,,36,61,113.5,78.5,118,65.5,,47.5,,,,53,56,107,59,,70,,100.5,82,,,32,55.5
Bay Ridge,Brooklyn,neighborhood,,,98.5,49,42.5,53,44,44,96,42,41,77,99,73,49,61,35,57,81,83,50.5,68,71,112,93,61.5,75
Baychester,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayside,Queens,neighborhood,,,,,,,,,,,,73.5,,,,,,,122,,,,60,67,110,53,
Bedford Park,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedford-Stuyvesant,Brooklyn,neighborhood,86,95,58,74.5,51,46.5,57,72,75.5,49.5,69,106,84,113,74.5,44,69,45,70,64,63.5,83.5,68.5,73,105.5,95,83
