Area,Boro,AreaType,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
All Downtown,Manhattan,submarket,3700,3738,3750,3795,3800,3850,3895,3796,3800,3758.5,3711,3650,3650,3700,3700,3735,3792,3729,3738,3700,3665,3675,3681.5,3645,3665,3764,3750
All Midtown,Manhattan,submarket,3495,3500,3500,3550,3595,3500,3525,3508,3550,3524,3500,3500,3480,3496.5,3485,3500,3508,3531,3500,3500,3500,3500,3351,3385,3400,3400,3400
All Upper East Side,Manhattan,submarket,2995,2970,3000,3000,3000,2995,2975,2940,2950,2950,2975,3000,2970,2995,2950,2950,2950,2950,2925,2900,2995,2950,2995,2990,2929,2900,2850
All Upper Manhattan,Manhattan,submarket,2291,2275,2300,2375,2395,2350,2395,2400,2400,2399,2395,2395,2366,2300,2297.5,2325,2350,2350,2395,2395,2354,2350,2275,2295,2290,2295,2313
All Upper West Side,Manhattan,submarket,3450,3450,3450,3475,3495,3450,3495,3445,3495,3480,3400,3380,3315,3345,3299,3300,3350,3390,3385,3395,3395,3400,3350,3327.5,3350,3290,3250
Alley Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astoria,Queens,neighborhood,2200,2200,2300,2300,2300,2350,2300,2377.5,2350,2297.5,2295,2275,2250,2200,2200,2200,2200,2250,2300,2300,2250,2190,2200,2195,2150,2123,2105.5
Auburndale,Queens,neighborhood,,,,1822.5,,,,,,,,,,,,,,2195,2097.5,,1795,,,,2197.5,,
Bath Beach,Brooklyn,neighborhood,1745,1950,2025,2175,2250,2050,2097.5,2000,2200,2150,1900,1900,2150,1950,1850,1950,1975,2000,1975,1950,1825,1895,1800,1700,1800,1925,1949.5
Battery Park City,Manhattan,neighborhood,4605.5,4600,4595,4800,4612.5,4650,4650,4800,4800,4250,4050,4025,4175,3995,3910,3972.5,4337.5,4385,4507.5,4350,4465,4695,3860,3950,4292.5,4100,4050
Bay Ridge,Brooklyn,neighborhood,1900,2000,2000,2000,2037.5,2100,2000,2100,2000,2050,2100,2150,2000,2000,1950,1975,2000,2000,2000,1895,1895,1900,1837.5,1850,2000,1975,1900
Baychester,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayside,Queens,neighborhood,2300,2350,2400,2400,2350,2375,2350,2225,2350,2250,2250,2450,2450,2549,2500,2450,2400,2400,2400,2362.5,2425,2450,2375,2210,2500,2400,2450
Bedford Park,Bronx,neighborhood,1450,1450,1400,1450,1375,1350,1470.5,1475,1500,1500,1462.5,1450,1400,1400,1500,1500,1550,1550,1550,1550,1495,1499,1582.5,1582.5,1499,1350,1572.5
Bedford-Stuyvesant,Brooklyn,neighborhood,2350,2349,2350,2400,2450,2475,2499,2495,2450,2450,2400,2400,2400,2350,2345,2390,2400,2489.5,2450,2475,2450,2400,2400,2350,2350,2300,2395
Bellerose,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont,Bronx,neighborhood,1600,,1400,1475,1435,1550,1625,1700,1700,1700,1650,1775,1660,1670,1700,1675,1690,1699.5,1725,1750,1775,1750,1700,1612.5,1625,1625,1637.5
Bensonhurst,Brooklyn,neighborhood,1685,1700,1750,1747.5,1800,1850,1800,1900,2099.5,2099,1875,1725,2000,1895,1800,1800,1700,1800,1700,1900,1737.5,1750,1712.5,1767.5,1700,1772.5,1800
Bergen Beach,Brooklyn,neighborhood,,,,,,,,,,2000,2000,,,2075,2000,2000,,,,2299,,,2150,,,,
Boerum Hill,Brooklyn,neighborhood,2800,2900,3066,3400,3500,3300,3200,3000,2925,2800,2841,2900,2925,3092,2995,2995,3102,3025,3200,3250,3300,3200,3000,3187.5,3016.5,3033,3000
Borough Park,Brooklyn,neighborhood,1595,1650,1700,1750,1750,1900,1900,1800,2088,1862.5,1800,2025,2000,1995,1750,1800,1700,1750,1725,1795,1800,1900,1800,1650,1670,1637.5,1772.5
Bowne Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Briarwood,Queens,neighborhood,1700,1737.5,1725,1775,1800,1712.5,1750,1685,1665,1695,1685,1695,1650,1700,1700,1710,1700,1700,1700,1750,1700,1799,1849,1799,1772.5,1725,1800
Brighton Beach,Brooklyn,neighborhood,1875,1950,1950,1949.5,1875,1875,1862.5,1900,1900,2000,2100,2300,2200,2100,2200,2150,2100,2100,2250,2100,2050,2075,2097.5,2050,2037.5,2045,2082
Bronx,Bronx,borough,1600,1600,1550,1600,1625,1699,1700,1700,1699.5,1697.5,1650,1699.5,1695,1674,1750,1700,1725,1750,1750,1750,1750,1790,1755,1724,1787,1800,1850
Bronxwood,Bronx,neighborhood,,,,,,,,,1612.5,1515,1450,1450,1500,1537.5,1525,1525,1650,1500,1500,1600,,1475,1500,1500,1700,1575,1525
Brooklyn,Brooklyn,borough,2590,2550,2585,2600,2650,2650,2650,2650,2600,2600,2500,2500,2500,2500,2495,2500,2500,2550,2595,2620,2595,2500,2495,2450,2450,2449,2495
Brooklyn Heights,Brooklyn,neighborhood,3065,3300,3200,3000,3160,3150,3100,3180,3300,3200,3195,3400,3451,3375,3200,3195,3000,3100,3050,2995,2999.5,3100,3000,3150,3200,3055,2997.5
Brookville,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brownsville,Brooklyn,neighborhood,1600,1600,1607.5,1600,1500,1650,1650,1650,1695,1650,1650,1700,1750,1750,1697.5,1800,1750,1800,1800,1700,1700,1795,1775,1697.5,1699.5,1750,1800
Bushwick,Brooklyn,neighborhood,2500,2650,2600,2595,2625,2654,2615,2600,2600,2500,2500,2484,2450,2450,2499,2550,2599,2600,2650,2650,2600,2500,2485,2450,2450,2480,2499
Cambria Heights,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canarsie,Brooklyn,neighborhood,1800,1800,1800,1799,1862.5,1800,1812.5,1800,1900,1837.5,1800,1862.5,2200,1850,1750,2150,2100,2100,2100,1825,1900,1850,1900,2075,2197,2100,2000
Carroll Gardens,Brooklyn,neighborhood,2995,2887.5,2950,2995,3150,3000,3200,3000,3000,3100,3000,2900,2999.5,2800,2800,2800,2837.5,2800,2900,2900,2800,2947.5,2895,2850,2800,2900,2800
Castle Hill,Bronx,neighborhood,1450,1450,,1525,,,,1475,1475,1475,1500,1625,1795,1496,1700,1650,1700,1495,1450,1525,1850,1900,1800,1800,1850,,
Central Harlem,Manhattan,neighborhood,2400,2350,2400,2475,2400,2400,2450,2500,2500,2500,2500,2495,2475,2395,2345,2350,2399.5,2400,2495,2500,2450,2395,2362.5,2380,2400,2450,2500
Central Park South,Manhattan,neighborhood,8000,7862.5,7875,7995,7900,7650,7650,7475,7500,7500,7500,7500,7500,7280,7165,7000,7237.5,7800,7650,8500,7800,7820,7125,6923,7500,7820,7735
Central Queens,Queens,submarket,2000,2075,2000,2095,2100,2175,2200,2200,2195,2100,2100,2195,2100,2100,2100,2050,2095,2150,2200,2195,2147.5,2100,2050,2085,2050,2040,2100
Chelsea,Manhattan,neighborhood,3895,3895,3915,3995,4125,4195,4097.5,4000,4000,4000,3995,3937,3895,3950,3950,3950,3975,3900,3900,3800,3845,3950,3975,3940,3950,4000,4000
Chinatown,Manhattan,neighborhood,2650,2650,2650,2900,2800,2800,2800,2825,2895,2922.5,2950,3000,2840,2800,2700,2875,3000,2800,2895,2600,2600,2647.5,2700,2800,2635,2700,2665
City Island,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Civic Center,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clearview,Queens,neighborhood,,,,,,,,,,,,,,,,,,2025,2075,,,1425,1800,,,,
Clinton Hill,Brooklyn,neighborhood,2699,2700,2679,2650,2700,2700,2700,2700,2750,2755,2750,2600,2600,2650,2600,2600,2700,2700,2699.5,2600,2585,2762.5,2700,2730,2699.5,2600,2657
Co-op City,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cobble Hill,Brooklyn,neighborhood,3210,3125,3150,3175,3250,3250,3100,3250,3050,3150,2997.5,2845,2750,2815,2728,2650,3000,2995,3000,3300,3200,3200,3100,2975,3063,2925,2950
College Point,Queens,neighborhood,,,,,,,,,,,,2200,,,,,,2200,2200,,,,,,,,
Columbia St Waterfront District,Brooklyn,neighborhood,2850,2895,2999.5,2900,3150,2999,3200,2895,2974.5,2847.5,2895,2700,2700,2625,2625,2500,2550,2600,2700,2700,2750,2800,2700,2700,2700,2700,2300
Concourse,Bronx,neighborhood,1500,1500,1495,1550,1487.5,1599.5,1650,1600,1650,1600,1525,1550,1520,1497.5,1674,1675,1600,1550,1558,1650,1722,1795,1650,1600,1595,1850,1700
Coney Island,Brooklyn,neighborhood,2200,2077.5,2150,2125,2100,1971,2131,2200,2200,2200,2197.5,2200,2325,2325,2150,2199.5,2100,2099.5,2099.5,1900,2150,2200,2195,2195,2075,2197.5,2074.5
Corona,Queens,neighborhood,1695,1850,1710,1782.5,1785,1770,1712.5,1937.5,1947.5,1982.5,1892.5,1850,1850,1765,1802.5,1842.5,1890,1887.5,1975,1825,1785,1820,1905,1950,1885,1827.5,1805
Country Club,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crotona Park East,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crown Heights,Brooklyn,neighborhood,2300,2350,2400,2400,2400,2450,2495,2499,2432.5,2400,2300,2294.5,2290,2300,2300,2300,2300,2399,2450,2499,2450,2400,2385,2350,2300,2300,2399
DUMBO,Brooklyn,neighborhood,4250,4074,4100,4250,4850,4700,4800,4370,4213,4500,4650,4354,4410,4750,4558.5,4450,4472.5,4364.5,4500,4187.5,4437.5,4292,4500,4380.5,4154,4110.5,4163
