,host_id,entire_home_apt_16,private_room_16,shared_room_16,entire_home_apt_17,private_room_17,shared_room_17,entire_home_apt_diff,private_room_diff,shared_room_diff,sum_2016,sum_2017
1,43,1,0,0,1,0,0,0,0,0,1,0
2,72,1,0,0,1,0,0,0,0,0,1,1
3,283,1,0,0,1,1,0,0,1,0,1,1
4,500,0,1,0,0,0,0,0,-1,0,1,2
5,1039,1,1,0,0,1,0,-1,0,0,2,0
6,1171,0,0,0,0,0,1,0,0,1,0,1
7,1783,1,0,0,1,0,0,0,0,0,1,1
8,2078,1,1,0,0,0,0,-1,-1,0,2,1
9,2339,2,0,0,2,0,0,0,0,0,2,0
10,2571,1,0,0,1,0,0,0,0,0,1,2
11,2600,0,0,0,1,0,0,1,0,0,0,1
12,2758,0,3,0,0,3,0,0,0,0,3,1
13,2782,1,0,0,0,2,0,-1,2,0,1,3
14,2787,0,7,6,0,5,2,0,-2,-4,13,2
15,2812,0,1,2,0,0,0,0,-1,-2,3,7
16,2845,1,0,0,1,0,1,0,0,1,1,0
17,2881,0,2,0,0,2,0,0,0,0,2,2
18,3211,0,1,0,0,1,0,0,0,0,1,2
19,3226,0,3,0,0,3,0,0,0,0,3,1
20,3227,1,0,0,1,0,0,0,0,0,1,3
21,3415,0,1,0,0,1,0,0,0,0,1,1
22,3533,1,0,0,0,0,0,-1,0,0,1,1
23,3563,0,1,0,0,1,0,0,0,0,1,0
24,3647,4,0,0,3,0,0,-1,0,0,4,1
25,3771,1,0,0,0,0,0,-1,0,0,1,3
26,3867,1,2,3,1,3,0,0,1,-3,6,0
27,4177,0,3,0,0,3,0,0,0,0,3,4
28,4267,1,1,0,1,1,0,0,0,0,2,3
29,4396,0,2,0,0,2,0,0,0,0,2,2
30,4488,1,0,0,0,0,0,-1,0,0,1,2
31,4506,1,0,0,1,0,0,0,0,0,1,0
32,4632,0,1,0,0,1,0,0,0,0,1,1
33,4732,1,0,0,0,0,0,-1,0,0,1,1
34,4869,1,0,0,1,0,0,0,0,0,1,0
35,5089,1,0,0,1,0,0,0,0,0,1,1
36,5146,1,0,0,1,0,0,0,0,0,1,1
37,5926,3,6,0,0,3,0,-3,-3,0,9,1
38,5940,1,0,0,0,0,0,-1,0,0,1,3
39,6041,0,1,0,0,2,0,0,1,0,1,0
40,7098,0,0,0,1,0,0,1,0,0,0,2
