"","neighbourhood","2016-01-01p","2016-01-01l","2016-02-01p","2016-02-01l","2016-03-01p","2016-03-01l","2016-04-01p","2016-04-01l","2016-05-01p","2016-05-01l","2016-06-01p","2016-06-01l","2016-07-01p","2016-07-01l","2016-08-01p","2016-08-01l","2016-09-01p","2016-09-01l","2016-10-01p","2016-10-01l","2016-11-01p","2016-11-01l","2016-12-01p","2016-12-01l","2017-01-01p","2017-01-01l","2017-02-01p","2017-02-01l","2017-03-01p","2017-03-01l","2017-04-01p","2017-04-01l","2017-05-01p","2017-05-01l","2017-06-01p","2017-06-01l","2017-07-01p","2017-07-01l","2017-08-01p","2017-08-01l","2017-09-01p","2017-09-01l","2017-10-01p","2017-10-01l","2017-11-01p","2017-11-01l","2017-12-01p","2017-12-01l","Boro","AreaType","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
"1","Astoria",1750,205,1775,158,1800,140,1800,140,1800,141,1800,141,1775,132,1800,132,1800,112,1725,120,1750,115,1800,108,1800,101,1800,97,1800,96,1800,103,1800,100,1825,96,1875,88,1800,87,1850,87,1800,85,1800,87,1800,86,"Queens","neighborhood",2200,2200,2300,2300,2300,2350,2300,2377.5,2350,2297.5,2295,2275,2250,2200,2200,2200,2200,2250,2300,2300,2250,2190,2200,2195,2150,2123,2105.5
"2","Bath Beach",1680,2,2000,1,1699.75,10.5,1699.75,10.5,1700,10,1675,10,1700,11,1748,10,1724,11,1700,9,1750,9,1900,9,1800,9.5,1826.25,8.5,1800,9,1800,9,1850,9,1812.5,10,1875,9,1819,9,1837.5,8,1800,8,1842.5,8,1821.25,8.5,"Brooklyn","neighborhood",1745,1950,2025,2175,2250,2050,2097.5,2000,2200,2150,1900,1900,2150,1950,1850,1950,1975,2000,1975,1950,1825,1895,1800,1700,1800,1925,1949.5
"3","Battery Park City",4625,22,4900,16,4900,14,4900,14,5100,10,4800,12,4849.5,18,4849.5,16,4849.5,14,4849.5,14,4899,11,4899,11,4849.5,8,4899,7,4899,7,5900,7,5399.5,8,6350,6,5900,7,5000,5,5900,5,5350,4,4800,3,5350,4,"Manhattan","neighborhood",4605.5,4600,4595,4800,4612.5,4650,4650,4800,4800,4250,4050,4025,4175,3995,3910,3972.5,4337.5,4385,4507.5,4350,4465,4695,3860,3950,4292.5,4100,4050
"4","Bay Ridge",1725,38,1750,33,1575,26,1575,26,1575,26,1575,24,1550,23,1500,25,1525,26,1525,28,1470,23,1550,23,1470,23,1510,20,1625,24,1625,24,1510,18,1510,20,1510,20,1470,17,1470,17,1625,20,1550,21,1460,16,"Brooklyn","neighborhood",1900,2000,2000,2000,2037.5,2100,2000,2100,2000,2050,2100,2150,2000,2000,1950,1975,2000,2000,2000,1895,1895,1900,1837.5,1850,2000,1975,1900
"5","Bayside",1500,5,1100,7,1600,7,1600,7,1550,6,1600,8,1425,6,1425,6,1425,6,1425,6,1350,7,2900,4,4300,3,3300,4,2300,3,2300,3,3300,4,3300,4,3300,4,3300,4,3300,4,3300,4,3300,4,3300,4,"Queens","neighborhood",2300,2350,2400,2400,2350,2375,2350,2225,2350,2250,2250,2450,2450,2549,2500,2450,2400,2400,2400,2362.5,2425,2450,2375,2210,2500,2400,2450
"6","Bedford-Stuyvesant",1900,772,2000,651,2000,582,2000,582,2000,575,2000,615,2000,609,2000,585,2000,569,2000,574,2000,542,2000,531,2000,510,2000,511,2000,486,2000,488,2000,478,2000,445,2000,437,2000,447,2000,426,2050,420,2000,436,2000,437,"Brooklyn","neighborhood",2350,2349,2350,2400,2450,2475,2499,2495,2450,2450,2400,2400,2400,2350,2345,2390,2400,2489.5,2450,2475,2450,2400,2400,2350,2350,2300,2395
"7","Bellerose",3000,1,2425,2,3000,1,3000,1,3000,1,3000,1,3000,1,3000,1,2450,2,2450,2,2450,2,2450,2,2450,2,2450,2,2450,2,2450,2,2450,2,2450,2,2450,2,2450,2,3000,1,2450,2,2450,2,2450,2,"Queens","neighborhood",2100,2050,2100,2150,2197.5,2162.5,2195,2197.5,2200,2150,2100,2200,2200,2167.5,2150,2050,2050,2100,2195,2198.75,2123.75,2087,2098.75,2100,2100,2100,2105.5
"8","Belmont",1300,4,1200,3,1300,2,1300,2,1300,2,1300,2,1300,2,1300,2,1300,2,1300,2,1300,2,1300,2,1300,2,1300,2,1800,9,1800,9,1300,2,1300,2,1300,2,1300,2,1200,1,1200,1,1842.5,8,1821.25,8.5,"Bronx","neighborhood",1600,2050,1400,1475,1435,1550,1625,1700,1700,1700,1650,1775,1660,1670,1700,1675,1690,1699.5,1725,1750,1775,1750,1700,1612.5,1625,1625,1637.5
"9","Bensonhurst",1499,21,1499.5,16,1500,13,1500,13,1500,13,1675,8,1850,7,1500,7,1400,9,1400,9,1450,8,1450,8,1850,5,1850,7,1850,5,1850,5,1920,4,1920,4,2340,3,2292.5,4,2340,3,2340,3,1850,5,1850,5,"Brooklyn","neighborhood",1685,1700,1750,1747.5,1800,1850,1800,1900,2099.5,2099,1875,1725,2000,1895,1800,1800,1700,1800,1700,1900,1737.5,1750,1712.5,1767.5,1700,1772.5,1800
"10","Bergen Beach",1600,3,1600,3,399,5,399,5,399,5,1900,1,399,5,399,5,1750,2,399,5,399,5,1600,1,399,3,1175,2,1600,1,1600,1,1600,1,1600,1,1600,1,1600,1,1600,1,1600,1,1600,1,1600,1,"Brooklyn","neighborhood",2100,2050,2100,2150,2197.5,2162.5,2195,2197.5,2200,2000,2000,2200,2200,2075,2000,2000,2050,2100,2195,2299,2123.75,2087,2150,2100,2100,2100,2105.5
"11","Boerum Hill",3075,50,3000,36,3087.5,28,3087.5,28,3075,26,3000,29,3162.5,26,3150,25,3200,23,3544,19,3359.5,18,3087.5,18,3500,19,3687.5,16,3359.5,16,3359.5,16,3175,17,3522,16,3544,15,3522,16,3544,15,3522,16,3522,16,3544,15,"Brooklyn","neighborhood",2800,2900,3066,3400,3500,3300,3200,3000,2925,2800,2841,2900,2925,3092,2995,2995,3102,3025,3200,3250,3300,3200,3000,3187.5,3016.5,3033,3000
"12","Borough Park",1000,27,999,28,943.5,26,943.5,26,943.5,24,999.5,30,999,30,999,31,999,29,888,30,888,29,1410,14,1400,15,1300,13,1360,10,1420,9,1485,10,1400,13,1485,10,1485,10,1485,10,1420,9,1360,8,1360,10,"Brooklyn","neighborhood",1595,1650,1700,1750,1750,1900,1900,1800,2088,1862.5,1800,2025,2000,1995,1750,1800,1700,1750,1725,1795,1800,1900,1800,1650,1670,1637.5,1772.5
"13","Briarwood",1300,8,1300,8,1500,7,1500,7,1100,5,1200,7,1200,6,1029,5,1029,5,1264.5,6,1264.5,6,1029,5,1029,5,1029,5,1029,5,1029,5,1029,5,1029,5,1029,5,1029,5,1029,5,1029,5,1029,5,1029,5,"Queens","neighborhood",1700,1737.5,1725,1775,1800,1712.5,1750,1685,1665,1695,1685,1695,1650,1700,1700,1710,1700,1700,1700,1750,1700,1799,1849,1799,1772.5,1725,1800
"14","Brighton Beach",1500,15,1500,11,1575,10,1575,10,1500,8,1500,10,1500,11,1500,9,2100,6,2200,5,2100,6,2000,5,2000,5,2000,3,2100,4,2100,4,2000,3,2000,3,2000,3,2000,3,2750,2,3500,1,3500,1,3500,1,"Brooklyn","neighborhood",1875,1950,1950,1949.5,1875,1875,1862.5,1900,1900,2000,2100,2300,2200,2100,2200,2150,2100,2100,2250,2100,2050,2075,2097.5,2050,2037.5,2045,2082
"15","Brooklyn Heights",2990,32,2990,22,2980,21,2980,21,2990,20,3000,21,3000,17,2940,12,2940,14,2800,12,2700,11,2700,11,2900,13,2840,10,2900,11,2900,11,2980,11,2990,12,2980,9,2990,10,3000,12,2940,10,2980,9,3000,11,"Brooklyn","neighborhood",3065,3300,3200,3000,3160,3150,3100,3180,3300,3200,3195,3400,3451,3375,3200,3195,3000,3100,3050,2995,2999.5,3100,3000,3150,3200,3055,2997.5
"16","Brownsville",1500,16,1500,15,1500,12,1500,12,1500,11,1500,10,1500,11,1500,10,1500,11,1500,8,1500,6,1400,8,1400,8,1500,6,1500,6,1400,4,1300,5,1075,6,1300,7,1150,7,1225,6,1300,7,1400,6,1400,6,"Brooklyn","neighborhood",1600,1600,1607.5,1600,1500,1650,1650,1650,1695,1650,1650,1700,1750,1750,1697.5,1800,1750,1800,1800,1700,1700,1795,1775,1697.5,1699.5,1750,1800
"17","Bushwick",1500,516,1550,410,1500,335,1500,335,1500,317,1500,329,1500,307,1500,297,1525,284,1550,264,1500,259,1600,245,1600,246,1550,251,1550,232,1599.5,228,1600,225,1600,220,1550,193,1555,210,1525,198,1500,203,1500,194,1500,194,"Brooklyn","neighborhood",2500,2650,2600,2595,2625,2654,2615,2600,2600,2500,2500,2484,2450,2450,2499,2550,2599,2600,2650,2650,2600,2500,2485,2450,2450,2480,2499
"18","Cambria Heights",1900,2,1900,2,1700,1,1700,1,1700,1,1700,1,1700,1,1700,1,1700,1,1700,1,1700,1,1700,1,1480,2,1260,3,1480,2,1480,2,1480,2,1480,2,1480,2,1480,2,1480,2,1480,2,1480,2,1480,2,"Queens","neighborhood",2100,2050,2100,2150,2197.5,2162.5,2195,2197.5,2200,2150,2100,2200,2200,2167.5,2150,2050,2050,2100,2195,2198.75,2123.75,2087,2098.75,2100,2100,2100,2105.5
