"","Date","Median_Price"
"1","2016-01-01p",1640
"2","2016-02-01p",1762.5
"3","2016-03-01p",1699.75
"4","2016-04-01p",1699.75
"5","2016-05-01p",1700
"6","2016-06-01p",1675
"7","2016-07-01p",1700
"8","2016-08-01p",1748
"9","2016-09-01p",1724
"10","2016-10-01p",1700
"11","2016-11-01p",1750
"12","2016-12-01p",1900
"13","2017-01-01p",1800
"14","2017-02-01p",1826.25
"15","2017-03-01p",1800
"16","2017-04-01p",1800
"17","2017-05-01p",1850
"18","2017-06-01p",1812.5
"19","2017-07-01p",1875
"20","2017-08-01p",1819
"21","2017-09-01p",1837.5
"22","2017-10-01p",1800
"23","2017-11-01p",1842.5
"24","2017-12-01p",1821.25
"25","2016-01",2100
"26","2016-02",2050
"27","2016-03",2100
"28","2016-04",2150
"29","2016-05",2197.5
"30","2016-06",2162.5
"31","2016-07",2195
"32","2016-08",2197.5
"33","2016-09",2200
"34","2016-10",2150
"35","2016-11",2100
"36","2016-12",2200
"37","2017-01",2200
"38","2017-02",2167.5
"39","2017-03",2150
"40","2017-04",2050
"41","2017-05",2050
"42","2017-06",2100
"43","2017-07",2195
"44","2017-08",2198.75
"45","2017-09",2123.75
"46","2017-10",2087
"47","2017-11",2098.75
"48","2017-12",2100
"49","2018-01",2100
"50","2018-02",2100
"51","2018-03",2105.5
